temp,atemp,hum,windspeed
0.430435,0.409735,0.737391,0.288783
0.441667,0.440642,0.624583,0.22575
0.346957,0.337939,0.839565,0.234261
0.285,0.270833,0.805833,0.243787
0.264167,0.256312,0.495,0.230725
0.265833,0.257571,0.394167,0.209571
0.253043,0.250339,0.493913,0.1843
0.264348,0.257574,0.302174,0.212204
0.3025,0.292908,0.314167,0.226996
0.3,0.29735,0.646667,0.172888
0.268333,0.257575,0.918333,0.217646
0.3,0.283454,0.68625,0.258708
0.315,0.315637,0.65375,0.197146
0.378333,0.378767,0.48,0.182213
0.573333,0.542929,0.42625,0.385571
0.414167,0.39835,0.642083,0.388067
0.390833,0.387608,0.470833,0.263063
0.4375,0.433696,0.602917,0.162312
0.335833,0.324479,0.83625,0.226992
0.3425,0.341529,0.8775,0.133083
0.426667,0.426737,0.8575,0.146767
0.595652,0.565217,0.716956,0.324474
0.5025,0.493054,0.739167,0.274879
0.4125,0.417283,0.819167,0.250617
0.4675,0.462742,0.540417,0.1107
0.446667,0.441913,0.67125,0.226375
0.430833,0.425492,0.888333,0.340808
0.456667,0.445696,0.479583,0.303496
0.5125,0.503146,0.5425,0.163567
0.505833,0.489258,0.665833,0.157971
0.595,0.564392,0.614167,0.241925
0.459167,0.453892,0.407083,0.325258
0.336667,0.321954,0.729583,0.219521
0.46,0.450121,0.887917,0.230725
0.581667,0.551763,0.810833,0.192175
0.606667,0.5745,0.776667,0.185333
0.631667,0.594083,0.729167,0.3265
0.62,0.575142,0.835417,0.3122
0.6175,0.578929,0.700833,0.320908
0.51,0.497463,0.457083,0.240063
0.4725,0.464021,0.503333,0.235075
0.451667,0.448204,0.762083,0.106354
0.549167,0.532833,0.73,0.183454
0.616667,0.582079,0.697083,0.342667
0.414167,0.40465,0.737083,0.328996
0.459167,0.441917,0.444167,0.295392
0.479167,0.474117,0.59,0.228246
0.52,0.512621,0.54125,0.16045
0.528333,0.518933,0.631667,0.0746375
0.5325,0.525246,0.58875,0.176
0.5325,0.522721,0.489167,0.115671
0.5425,0.5284,0.632917,0.120642
0.535,0.523363,0.7475,0.189667
0.5125,0.4943,0.863333,0.179725
0.520833,0.500629,0.9225,0.13495
